,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
226,200.0,300.0,1.0,0.01,10.0,0.05,14612.0,33.93008684,14612.0,608.8333333333334
227,200.0,300.0,1.0,0.01,10.0,0.1,7306.0,16.96504342,7306.0,304.4166666666667
228,200.0,300.0,1.0,0.01,11.0,0.01,89790.0,208.4986653,89790.0,3741.25
229,200.0,300.0,1.0,0.01,11.0,0.05,17958.0,41.69973306,17958.0,748.25
230,200.0,300.0,1.0,0.01,11.0,0.1,8979.0,20.84986653,8979.0,374.125
231,200.0,300.0,1.0,0.01,12.0,0.01,116461.0,270.43059427,116461.0,4852.541666666667
232,200.0,300.0,1.0,0.01,12.0,0.05,23293.0,54.08797651,23293.0,970.5416666666666
233,200.0,300.0,1.0,0.01,12.0,0.1,11647.0,27.04514929,11647.0,485.2916666666667
234,200.0,300.0,1.0,0.01,13.0,0.01,165564.0,384.45119748,165564.0,6898.5
235,200.0,300.0,1.0,0.01,13.0,0.05,33113.0,76.89070391,33113.0,1379.7083333333333
236,200.0,300.0,1.0,0.01,13.0,0.1,16557.0,38.44651299,16557.0,689.875
237,200.0,300.0,1.0,0.01,14.0,0.01,283208.0,657.62880056,283208.0,11800.333333333334
238,200.0,300.0,1.0,0.01,14.0,0.05,56642.0,131.52668894,56642.0,2360.0833333333335
239,200.0,300.0,1.0,0.01,14.0,0.1,28321.0,65.76334447,28321.0,1180.0416666666667
240,200.0,300.0,1.0,0.05,10.0,0.01,14612.0,33.93008684,14612.0,608.8333333333334
241,200.0,300.0,1.0,0.05,10.0,0.05,2923.0,6.78741061,2923.0,121.79166666666667
242,200.0,300.0,1.0,0.05,10.0,0.1,1462.0,3.39486634,1462.0,60.916666666666664
243,200.0,300.0,1.0,0.05,11.0,0.01,17958.0,41.69973306,17958.0,748.25
244,200.0,300.0,1.0,0.05,11.0,0.05,3592.0,8.34087544,3592.0,149.66666666666666
245,200.0,300.0,1.0,0.05,11.0,0.1,1796.0,4.17043772,1796.0,74.83333333333333
246,200.0,300.0,1.0,0.05,12.0,0.01,23293.0,54.08797651,23293.0,970.5416666666666
247,200.0,300.0,1.0,0.05,12.0,0.05,4659.0,10.81852413,4659.0,194.125
248,200.0,300.0,1.0,0.05,12.0,0.1,2330.0,5.4104231,2330.0,97.08333333333333
249,200.0,300.0,1.0,0.05,13.0,0.01,33113.0,76.89070391,33113.0,1379.7083333333333
250,200.0,300.0,1.0,0.05,13.0,0.05,6623.0,15.37906961,6623.0,275.9583333333333
251,200.0,300.0,1.0,0.05,13.0,0.1,3312.0,7.69069584,3312.0,138.0
